feature_name,domain,source_table,source_column,itemid_or_icd_code,official_label,unit,aggregation,observation_window,missing_value_rule,used_for_los,used_for_readmission,exclusion_reason
lactate_first,laboratory_chart,labevents,"valuenum, charttime, itemid",50813,Lactate,mmol/L,first valid value,first 24 hours,median imputation in model pipeline,True,True,
platelet_count_first,laboratory_chart,labevents,"valuenum, charttime, itemid",51265,Platelet Count,K/uL,first valid value,first 24 hours,median imputation in model pipeline,True,True,
sodium_first,laboratory_chart,labevents,"valuenum, charttime, itemid",50983,Sodium,mEq/L,first valid value,first 24 hours,median imputation in model pipeline,True,True,
bun_first,laboratory_chart,labevents,"valuenum, charttime, itemid",51006,Urea Nitrogen,mg/dL,first valid value,first 24 hours,median imputation in model pipeline,True,True,
wbc_first,laboratory_chart,labevents,"valuenum, charttime, itemid",51301,White Blood Cells,K/uL,first valid value,first 24 hours,median imputation in model pipeline,True,True,
hemoglobin_first,laboratory_chart,labevents,"valuenum, charttime, itemid",51222,Hemoglobin,g/dL,first valid value,first 24 hours,median imputation in model pipeline,True,True,
hematocrit_first,laboratory_chart,labevents,"valuenum, charttime, itemid",51221,Hematocrit,%,first valid value,first 24 hours,median imputation in model pipeline,True,True,
potassium_first,laboratory_chart,labevents,"valuenum, charttime, itemid",50971,Potassium,mEq/L,first valid value,first 24 hours,median imputation in model pipeline,True,True,
chloride_first,laboratory_chart,labevents,"valuenum, charttime, itemid",50902,Chloride,mEq/L,first valid value,first 24 hours,median imputation in model pipeline,True,True,
glucose_first,laboratory_chart,labevents,"valuenum, charttime, itemid",50931,Glucose,mg/dL,first valid value,first 24 hours,median imputation in model pipeline,True,True,
albumin_first,laboratory_chart,labevents,"valuenum, charttime, itemid",50862,Albumin,g/dL,first valid value,first 24 hours,median imputation in model pipeline,True,True,
bilirubin_first,laboratory_chart,labevents,"valuenum, charttime, itemid",50885,"Bilirubin, Total",mg/dL,first valid value,first 24 hours,median imputation in model pipeline,True,True,
inr_first,laboratory_chart,labevents,"valuenum, charttime, itemid",51237,INR(PT),ratio,first valid value,first 24 hours,median imputation in model pipeline,True,True,
gcs_motor_first,services_interventions,chartevents,"valuenum, itemid",223901,GCS - Motor Response,,first/sum/count/indicator as named,first 24 hours for LOS; through discharge for readmission,median imputation in model pipeline,True,True,
gcs_verbal_first,services_interventions,chartevents,"valuenum, itemid",223900,GCS - Verbal Response,,first/sum/count/indicator as named,first 24 hours for LOS; through discharge for readmission,median imputation in model pipeline,True,True,
gcs_eyes_first,services_interventions,chartevents,"valuenum, itemid",220739,GCS - Eye Opening,,first/sum/count/indicator as named,first 24 hours for LOS; through discharge for readmission,median imputation in model pipeline,True,True,
gcs_total_first,services_interventions,chartevents,"valuenum, itemid",223901/223900/220739,Total GCS,,first/sum/count/indicator as named,first 24 hours for LOS; through discharge for readmission,median imputation in model pipeline,True,True,
urine_output_24h,services_interventions,chartevents,"valuenum, itemid",226559,Foley,mL,first/sum/count/indicator as named,first 24 hours for LOS; through discharge for readmission,median imputation in model pipeline,True,True,
current_service,services_interventions,services,curr_service,,Current service,,first/sum/count/indicator as named,first 24 hours for LOS; through discharge for readmission,median imputation in model pipeline,True,True,
previous_service,services_interventions,services,prev_service,,Previous service,,first/sum/count/indicator as named,first 24 hours for LOS; through discharge for readmission,median imputation in model pipeline,True,True,
surgery_indicator,services_interventions,services/procedures_icd,"curr_service, icd_code",,Surgical service/procedure,,first/sum/count/indicator as named,first 24 hours for LOS; through discharge for readmission,median imputation in model pipeline,True,True,
mechanical_ventilation_indicator,services_interventions,chartevents,itemid,223848/223849/229314,Ventilator Type/Mode,,first/sum/count/indicator as named,first 24 hours for LOS; through discharge for readmission,median imputation in model pipeline,True,True,
vasopressor_indicator,services_interventions,inputevents,itemid,221906/221289/221749/222315,Norepinephrine/Epinephrine/Phenylephrine/Vasopressin,,first/sum/count/indicator as named,first 24 hours for LOS; through discharge for readmission,median imputation in model pipeline,True,True,
icu_admission_indicator,services_interventions,icustays,stay_id,,Any ICU stay,,first/sum/count/indicator as named,first 24 hours for LOS; through discharge for readmission,median imputation in model pipeline,True,True,
procedure_count,services_interventions,procedures_icd,hadm_id,,Number of procedures,,first/sum/count/indicator as named,first 24 hours for LOS; through discharge for readmission,median imputation in model pipeline,True,True,
service_transfer_count,services_interventions,services,transfertime,,Number of service transfers,,first/sum/count/indicator as named,first 24 hours for LOS; through discharge for readmission,median imputation in model pipeline,True,True,
